,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,

 ,,,,,,,,,,,,,,,

Total,,," 144,730 "," 128,371 "," 11,119 "," 461,120 "," 59,212 "," 9,376 "," 5,907 "," 827,744 "," 203,942 "," 137,747 "," 17,026 "," 1,289,088 ",

Field Office by State6,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,

Alabama,,,,,,,,,,,,,,,

,Montgomery,MGA, 395 , 189 , 19 , 593 , D , 18 , -   , 189 , 397 , 207 , 19 , 623 ,

Alaska,,,,,,,,,,,,,,,

,Anchorage ,ANC, 80 , 70 , 11 , 175 , -   , -   , -   , 70 , 80 , 70 , 11 , 181 ,

Arizona,,,,,,,,,,,,,,,

 ,Phoenix ,PHO," 1,018 ", 506 , 41 ," 3,237 ", -   , D , D , 506 ," 1,018 ", 509 , 50 ," 3,252 ",

,Tucson,TUC, 306 , 230 , 11 , 966 , -   , D , -   , 230 , 306 , 231 , 11 , 966 ,

Arkansas,,,,,,,,,,,,,,,

,Fort Smith ,FSA, 128 , 157 , D , 324 , -   , D , D , 157 , 128 , 160 , D , 325 ,

California,,,,,,,,,,,,,,,

,Chula Vista,CVC, -   , - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,

,Fresno ,FRE, 680 , 524 , 30 ," 2,051 ", -   , D , D , 524 , 680 , 530 , 33 ," 2,082 ",

,Imperial,IMP, 100 , 50 , D , 235 , -   , -   , -   , 50 , 100 , 50 , D , 235 ,

,Los Angeles ,LOS," 1,815 "," 1,274 ", 125 ," 5,945 ", -   , 10 , D ," 1,274 "," 1,815 "," 1,284 ", 130 ," 5,952 ",

,Los Angeles County ,LAC," 1,739 "," 1,921 ", 108 ," 3,113 ", D , 40 , D ," 1,921 "," 1,742 "," 1,961 ", 111 ," 3,163 ",

,Sacramento ,SAC, 633 , 526 , 25 ," 1,891 ", -   , 13 , D , 526 , 633 , 539 , 26 ," 1,896 ",

,San Bernardino,SBD," 1,506 "," 1,397 ", 88 ," 3,527 ", D , 25 , D ," 1,397 "," 1,507 "," 1,422 ", 96 ," 3,551 ",

,San Diego ,SND," 1,076 "," 1,370 ", 47 ," 3,243 ", D , 10 , D ," 1,370 "," 1,078 "," 1,380 ", 48 ," 3,254 ",

,San Fernando Valley,SFV," 1,115 "," 1,082 ", 65 ," 3,801 ", D , 10 , D ," 1,082 "," 1,117 "," 1,092 ", 69 ," 3,806 ",

,San Francisco,SFR," 1,854 "," 1,430 ", 67 ," 6,218 ", D , 17 , D ," 1,430 "," 1,856 "," 1,447 ", 68 ," 6,233 ",

,San Jose ,SNJ, 992 , 973 , 62 ," 2,606 ", D , 18 , D , 973 , 993 , 991 , 64 ," 2,610 ",

,Santa Ana,SAA," 1,310 ", 785 , 65 ," 5,259 ", -   , D , 10 , 785 ," 1,310 ", 792 , 75 ," 5,271 ",

Colorado,,,,,,,,,,,,,,,

,Denver ,DEN, 894 , 526 , 61 ," 3,454 ", -   , 16 , D , 526 , 894 , 542 , 65 ," 3,464 ",

Connecticut,,,,,,,,,,,,,,,

