<body><p>,,,,,,,,,,,,,,,,,,,,,,,
Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September  30, 2022",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative2,,,,Total,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,," 169,123 "," 73,858 "," 17,583 "," 701,392 "," 61,976 "," 36,601 "," 11,245 "," 1,106,848 "," 231,099 "," 110,459 "," 28,828 "," 1,808,240 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State7,,Field Office Code,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,
,Montgomery,MGA, 249 , 108 , 34 ," 2,583 ", D , -   , D , 188 , 257 , 108 , 42 ," 2,771 ",,,,,,,,,
Alaska,,, , , , , , , , , , , , ,,,,,,,,,
,Anchorage ,ANC, 30 , 73 , D , 220 , D , D , -   , 13 , 31 , 77 , D , 233 ,,,,,,,,,
Arizona,,, , , , , , , , , , , , ,,,,,,,,,
 ,Phoenix ,PHO," 1,142 ", 101 , 25 ," 4,564 ", 17 , D , 17 , 194 ," 1,159 ", 104 , 42 ," 4,758 ",,,,,,,,,
,Tucson,TUC, 310 , 75 , 10 ," 1,522 ", D , D , D , 71 , 313 , 79 , 15 ," 1,593 ",,,,,,,,,
Arkansas,,, , , , , , , , , , , , ,,,,,,,,,
,Fort Smith ,FSA, 119 , 59 , D , 717 , D , D , D , 41 , 120 , 63 , 12 , 758 ,,,,,,,,,
California,,, , , , , , , , , , , , ,,,,,,,,,
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
,Fresno ,FRE, 645 , 228 , 32 ," 3,094 ", D , 25 , 28 , 111 , 649 , 253 , 60 ," 3,205 ",,,,,,,,,
,Imperial,IMP, 95 , D , D , 678 , 10 , -   , D , 88 , 105 , D , 11 , 766 ,,,,,,,,,
,Los Angeles ,LOS," 1,263 ", 657 , 109 ," 5,575 ", 43 , 64 , 128 , 375 ," 1,306 ", 721 , 237 ," 5,950 ",,,,,,,,,
,Los Angeles County ,LAC, 983 , 824 , 101 ," 4,015 ", 42 , 20 , 101 , 287 ," 1,025 ", 844 , 202 ," 4,302 ",,,,,,,,,
,Sacramento ,SAC, 599 , 89 , 31 ," 3,275 ", 13 , D , 65 , 177 , 612 , 93 , 96 ," 3,452 ",,,,,,,,,
,San Bernardino,SBD," 1,025 ", 401 , 60 ," 3,481 ", 28 , 30 , 50 , 165 ," 1,053 ", 431 , 110 ," 3,646 ",,,,,,,,,
,San Diego ,SND, 871 , 122 , 44 ," 3,967 ", 53 , 10 , 40 , 274 , 924 , 132 , 84 ," 4,241 ",,,,,,,,,
,San Fernando Valley,SFV, 836 , 634 , 73 ," 3,110 ", 23 , 21 , 38 , 170 , 859 , 655 , 111 ," 3,280 ",,,,,,,,,
,San Francisco,SFR," 1,237 ", 400 , 98 ," 6,160 ", 39 , 34 , 157 , 483 ," 1,276 ", 434 , 255 ," 6,643 ",,,,,,,,,
,San Jose ,SNJ, 746 , 78 , 28 ," 3,441 ", 36 , D , 67 , 356 , 782 , 85 , 95 ," 3,797 ",,,,,,,,,
,Santa Ana,SAA, 802 , 263 , 44 ," 3,397 ", 30 , 21 , 65 , 239 , 832 , 284 , 109 ," 3,636 ",,,,,,,,,
Colorado,,, , , , , , , , , , , , ,,,,,,,,,
,Denver ,DEN, 958 , 366 , 50 ," 4,933 ", 22 , D , 11 , 232 , 980 , 372 , 61 ," 5,165 ",,,,,,,,,
Connecticut,,, , , , , , , , , , , , ,,,,,,,,,
,Hartford ,HAR, 673 , 513 , 49 ," 2,699 ", 13 , 14 , D , 183 , 686 , 527 , 54 ," 2,882 ",,,,,,,,,
Delaware,,, , , , , , , , , , , , ,,,,,,,,,
,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
District of Columbia,,, , , , , , , , , , , , ,,,,,,,,,
,Washington ,WAS, 987 , 539 , 100 ," 5,433 ", 18 , 55 , 19 , 432 ," 1,005 ", 594 , 119 ," 5,865 ",,,,,,,,,
Florida,,, , , , , , , , , , , , ,,,,,,,,,
,Hialeah,HIA, 378 , 596 , 51 ," 2,112 ", 33 , 40 , 25 , 184 , 411 , 636 , 76 ," 2,296 ",,,,,,,,,
,Jacksonville,JAC, 373 , 45 , 19 ," 1,936 ", D , D , 14 , 64 , 380 , 47 , 33 ," 2,000 ",,,,,,,,,
,Kendall,KND, 475 , 411 , 40 ," 2,573 ", 12 , 12 , 34 , 186 , 487 , 423 , 74 ," 2,759 ",,,,,,,,,
,Miami ,MIA, 844 , 271 , 54 ," 4,178 ", 42 , 23 , 30 , 473 , 886 , 294 , 84 ," 4,651 ",,,,,,,,,
,Fort Myers,OFM, 308 , 55 , 29 ," 1,692 ", 21 , D , 13 , 141 , 329 , 59 , 42 ," 1,833 ",,,,,,,,,
,Oakland Park,OKL," 1,002 ", 594 , 75 ," 4,291 ", 54 , 23 , 54 , 283 ," 1,056 ", 617 , 129 ," 4,574 ",,,,,,,,,
,Orlando ,ORL," 1,073 ", 568 , 78 ," 4,530 ", 37 , 17 , 29 , 357 ," 1,110 ", 585 , 107 ," 4,887 ",,,,,,,,,
,Tampa,TAM, 843 , 573 , 84 ," 3,344 ", 26 , 21 , 35 , 234 , 869 , 594 , 119 ," 3,578 ",,,,,,,,,
,West Palm Beach,WPB, 703 , 393 , 44 ," 3,193 ", 26 , 15 , 22 , 205 , 729 , 408 , 66 ," 3,398 ",,,,,,,,,
Georgia,,, , , , , , , , , , , , ,,,,,,,,,
